ou_mean,ou_std,IT5B_r,IT5B_cv,IT6_r,IT6_cv
0.0107894736842105,0.0010526315789473,6.797770700636943,0.06732987737483226,8.919722497522299,0.041797503123282786
0.0147368421052631,0.0063157894736842,11.121019108280255,0.1756289333970649,13.549925668979187,0.15502653839048544
0.0002631578947368,0.0168421052631578,1.0581210191082802,0.7629470872581173,1.509663032705649,0.7738618383756687
0.0173684210526315,0.0147368421052631,0.7354033970276008,0.4139961775056408,1.7160555004955402,0.408493558356787
-0.0023684210526315,0.0042105263157894,0.0,,0.0,
0.0094736842105263,0.0168421052631578,3.800424628450106,0.5291203321707685,5.0407581764122895,0.49195066081046296
-0.0036842105263157,0.0147368421052631,0.03901273885350318,,0.06541129831516353,0.7911388036300667
0.0121052631578947,0.0010526315789473,9.035297239915074,0.04339915715602873,10.713701684836472,0.03279901242587916
0.0160526315789473,0.0168421052631578,1.0745753715498938,0.4684461298197328,1.1599355797819624,0.4623917674741567
0.0173684210526315,0.0052631578947368,14.101910828025478,0.13011964105827323,16.786298315163528,0.11598610103386686
0.0121052631578947,0.0178947368421052,2.4240976645435244,0.5225126828464565,2.6951189296333005,0.4832368749435166
0.02,0.02,0.4973460721868365,0.5287776352070576,0.0472001982160555,0.5586548800653034
0.0134210526315789,0.0063157894736842,10.512473460721868,0.19607348605522115,12.011397423191278,0.1670887321101454
0.0186842105263157,0.0052631578947368,14.00583864118896,0.13273764525153575,18.308969276511398,0.11290817343501999
0.0186842105263157,0.0084210526315789,3.729299363057325,0.22581096236128895,11.975346878097126,0.206195628690611
-0.0036842105263157,0.0084210526315789,0.0,,0.0,
0.0147368421052631,0.0052631578947368,12.354299363057326,0.14442761674079052,13.984018830525272,0.12750825753401512
0.001578947368421,0.0,0.0,,0.0,
0.0147368421052631,0.0168421052631578,1.6470276008492568,0.4923766720985533,1.9755946481665014,0.45060157346046475
0.0002631578947368,0.0052631578947368,0.0,,0.0,
0.0002631578947368,0.0189473684210526,1.7314225053078556,0.8086711312618771,2.351090188305253,0.7656689998365412
0.0107894736842105,0.0094736842105263,6.172770700636943,0.35739853110910735,8.491947472745291,0.30517919042053565
-0.0010526315789473,0.0094736842105263,0.0010615711252653928,,0.002477700693756194,
0.0160526315789473,0.0063157894736842,11.167462845010617,0.17110658317378294,14.94846382556987,0.147323231637169
0.0081578947368421,0.0031578947368421,0.3601380042462845,0.6233012163818525,3.60406342913776,0.4209886649534095
0.001578947368421,0.0094736842105263,0.025743099787685776,,0.08312685827552031,0.7921375286012062
0.0160526315789473,0.02,1.0374203821656052,0.5445720128686167,0.47014370664023786,0.5232257560729778
0.0173684210526315,0.011578947368421,1.5119426751592357,0.31557498507385534,4.860629335976214,0.30691346372368206
0.001578947368421,0.0052631578947368,0.0,,0.0,
0.0134210526315789,0.0021052631578947,10.901008492569002,0.06847896476288805,12.347249752229931,0.05591875169764001
0.0186842105263157,0.0136842105263157,0.524416135881104,0.37675256938039975,1.5002477700693757,0.37519872230304996
0.0068421052631578,0.0,0.0,,0.0,
0.02,0.011578947368421,0.654723991507431,0.3097238148293737,2.7301783944499505,0.31713644694616366
0.0160526315789473,0.0,14.125,1.514325412634286e-06,15.25,0.0005413546300163062
-0.005,0.0084210526315789,0.0,,0.0,
0.0107894736842105,0.0147368421052631,3.4843418259023355,0.45978106562571075,5.9503221010901886,0.4234311898209347
0.0002631578947368,0.0042105263157894,0.0,,0.0,
0.0173684210526315,0.0010526315789473,15.624469214437367,0.024884945740135306,16.75681367690783,0.022952812540028338
0.02,0.0084210526315789,2.411624203821656,0.23357479274631365,11.568508424182358,0.20842058967154067
0.0121052631578947,0.0063157894736842,9.117038216560509,0.22832770336678462,10.566526263627354,0.1897337387448674
0.0081578947368421,0.0105263157894736,4.586783439490445,0.52166317439203,6.121159563924678,0.4454846844311825
0.0002631578947368,0.0010526315789473,0.0,,0.0,
0.0068421052631578,0.0021052631578947,0.0,,0.002477700693756194,
0.0134210526315789,0.02,2.0246815286624202,0.548548299437927,1.2244796828543112,0.5385299537017815
0.0173684210526315,0.0021052631578947,15.640392781316349,0.04974834521063867,16.806863230921703,0.045889823511386985
0.0055263157894736,0.0073684210526315,0.38455414012738853,0.6735633278458809,1.2844400396432112,0.7092706829461475
0.02,0.0168421052631578,0.41109341825902335,0.4834119935363671,0.18607532210109018,0.46014223718766434
0.0160526315789473,0.0157894736842105,1.0610403397027601,0.4618186791566411,1.7739098116947474,0.4212771827052534
0.0134210526315789,0.0073684210526315,8.957271762208068,0.22956009699017424,11.56726957383548,0.1983032731646706
0.0160526315789473,0.0010526315789473,14.112261146496815,0.02664958499784511,15.287165510406343,0.02405255516309362
0.0068421052631578,0.02,4.3274946921443735,0.6489385702399344,4.37784935579782,0.6054591863012295
-0.0036842105263157,0.011578947368421,0.0010615711252653928,,0.002106045589692765,
0.0002631578947368,0.0178947368421052,1.4012738853503184,0.8012440595071154,1.89197224975223,0.774714400337602
0.0055263157894736,0.0168421052631578,4.0376857749469215,0.6651005860508751,4.939048562933598,0.6056365332342587
-0.005,0.0094736842105263,0.0,,0.0,
-0.005,0.0105263157894736,0.0,,0.0,
0.0134210526315789,0.0042105263157894,11.062367303609342,0.13261337374226811,12.455277502477701,0.11058873290486852
0.0002631578947368,0.0147368421052631,0.49920382165605093,0.7318630499185994,0.8050049554013875,0.723281636946025
0.0094736842105263,0.0042105263157894,4.440817409766455,0.38646894942723964,7.021927651139742,0.2326605531698734
0.0160526315789473,0.0021052631578947,14.12287685774947,0.05316428573009914,15.342046580773042,0.04820940235762874
0.0068421052631578,0.0157894736842105,4.074575371549894,0.5972000294625204,5.446110009910803,0.5497374262779984
0.0160526315789473,0.0178947368421052,1.0233545647558386,0.511128981014588,0.8872646184340932,0.4773645151504481
-0.005,0.0168421052631578,0.0732484076433121,,0.11310703666997027,0.7779232025323249
-0.0036842105263157,0.0021052631578947,0.0,,0.0,
0.0068421052631578,0.0147368421052631,4.133492569002123,0.5872725257964371,5.64593657086224,0.5390509694507136
0.0186842105263157,0.02,0.6016454352441614,0.5272110715689499,0.11211595639246778,0.5175695066281756
0.0081578947368421,0.0,0.0,,1.625,4.1632136318204e-05
-0.0023684210526315,0.0094736842105263,0.0,,0.0001238850346878097,
-0.0036842105263157,0.0178947368421052,0.2484076433121019,0.7229979218462361,0.38503468780971256,0.7088776911873249
0.0107894736842105,0.0126315789473684,4.432855626326964,0.4062816978339824,7.292616451932607,0.3743305682715344
0.001578947368421,0.0010526315789473,0.0,,0.0,
0.0081578947368421,0.02,4.186305732484076,0.6275956436147558,3.987611496531219,0.5862427582612191
0.0160526315789473,0.0189473684210526,0.7112526539278131,0.559156225157826,0.5659068384539148,0.4999779748317331
0.0186842105263157,0.011578947368421,1.0209660297239915,0.3335933935434307,4.313057482656095,0.3127406427659892
0.0121052631578947,0.0105263157894736,4.920116772823779,0.33701506866842734,8.78505946481665,0.2987155134908407
0.0134210526315789,0.0157894736842105,2.44187898089172,0.4575102322655471,3.174677898909812,0.4242166857373323
0.0042105263157894,0.0094736842105263,0.4774416135881104,0.7150918329684592,1.1378840436075321,0.7188829540626722
0.0055263157894736,0.0094736842105263,1.3638535031847134,0.7314910141492074,2.552651139742319,0.6632439909184755
0.0173684210526315,0.0042105263157894,15.604830148619957,0.09973609303645,16.934588701684838,0.09175080391784696
0.0028947368421052,0.0189473684210526,3.381900212314225,0.7660141433885242,3.820490584737364,0.7007584878880119
0.0173684210526315,0.0094736842105263,2.7518577494692145,0.25762650575859464,9.668111992071358,0.241156919838435
0.0055263157894736,0.0031578947368421,0.0,,0.0002477700693756194,
0.0002631578947368,0.0094736842105263,0.003980891719745223,,0.016105054509415264,
0.0042105263157894,0.011578947368421,1.3075902335456475,0.7475193955218226,2.2211347869177405,0.7077408945598473
0.001578947368421,0.0168421052631578,1.7287685774946921,0.791340399223633,2.3576560951437067,0.7440961002580928
0.0055263157894736,0.0021052631578947,0.0,,0.0,
0.0160526315789473,0.011578947368421,2.3261677282377917,0.3175866980960059,6.061446977205153,0.3067213047721598
0.02,0.0031578947368421,18.633492569002122,0.06878417212498276,19.795465807730427,0.06566604169838942
0.0068421052631578,0.0136842105263157,3.978768577494692,0.5895610038101127,5.4400396432111,0.5316728821294596
0.001578947368421,0.0031578947368421,0.0,,0.0,
0.0068421052631578,0.0042105263157894,0.04883227176220807,,0.925792864222002,0.6730476168725955
0.0002631578947368,0.0136842105263157,0.28503184713375795,0.7061833227633858,0.5210604558969276,0.6902707165079034
-0.0010526315789473,0.0178947368421052,0.8996815286624203,0.7683258429183109,1.201808721506442,0.774175486184034
-0.005,0.0157894736842105,0.03476645435244161,,0.05475718533201189,0.7912088917226333
0.0121052631578947,0.0031578947368421,9.160031847133759,0.12564095758250884,10.79583746283449,0.09781092087017214
-0.0010526315789473,0.0126315789473684,0.052547770700636945,,0.10530227948463826,0.8256224333729885
0.0147368421052631,0.0126315789473684,2.635615711252654,0.35759864869363317,5.722001982160555,0.3346068889082795
0.0028947368421052,0.0147368421052631,1.697452229299363,0.771457660139633,2.529360753221011,0.7182397604067526
0.0081578947368421,0.011578947368421,4.579087048832272,0.5128293664676645,6.21605550049554,0.4542507361903406
-0.0036842105263157,0.0073684210526315,0.0,,0.0,
-0.0010526315789473,0.0031578947368421,0.0,,0.0,
0.0028947368421052,0.0178947368421052,2.8991507430997876,0.7608951408981656,3.600470763131814,0.7028841699602725
0.0147368421052631,0.0,12.5,0.0002945562333497583,13.75,0.0005498287144140104
-0.0010526315789473,0.02,1.4662951167728238,0.8177460663061351,1.8894945490584738,0.7890440443792532
0.0042105263157894,0.0063157894736842,0.007961783439490446,,0.07358771060455897,0.8825595830985621
-0.005,0.0126315789473684,0.001326963906581741,,0.0023538156590683845,
0.0042105263157894,0.0126315789473684,1.7444267515923566,0.7489904401094496,2.6962338949454905,0.6863181945453454
0.0186842105263157,0.0147368421052631,0.5663481953290871,0.4071032679571756,0.8865213082259663,0.40167330340268614
0.0147368421052631,0.0031578947368421,12.602707006369426,0.08662772659423866,13.904112983151636,0.07685547941414424
0.0107894736842105,0.0052631578947368,7.370488322717622,0.26282799317648586,9.155104063429137,0.19472271800803398
0.0107894736842105,0.0178947368421052,3.1878980891719744,0.5330522529519756,3.492814667988107,0.5035006861088315
0.0107894736842105,0.0063157894736842,7.54432059447983,0.29070678025032837,9.078914767096135,0.2265222287872539
0.0134210526315789,0.0084210526315789,7.341295116772824,0.2537674175558733,10.662165510406343,0.22802653565451297
0.0107894736842105,0.0042105263157894,7.177813163481953,0.2272043779183332,9.086100099108029,0.16050070336066533
0.0081578947368421,0.0021052631578947,0.006634819532908705,,2.9402874132804757,0.4114604560084761
0.0081578947368421,0.0157894736842105,3.7669851380042463,0.5534278479675646,5.772423191278493,0.5057137093645266
-0.005,0.0147368421052631,0.01167728237791932,,0.02490089197224975,
0.001578947368421,0.0073684210526315,0.0007961783439490446,,0.003468780971258672,
0.0094736842105263,0.0,2.625,5.812208304731533e-05,6.75,0.00016977138596677645
0.0107894736842105,0.0189473684210526,2.9721337579617835,0.5771481614693587,2.8792120911793857,0.5280073131934456
-0.0023684210526315,0.02,0.9596602972399151,0.7785143417619571,1.2674677898909812,0.787446074806849
0.001578947368421,0.0105263157894736,0.08678343949044585,,0.21704658077304262,0.6523216505043418
0.0173684210526315,0.0105263157894736,2.30307855626327,0.28092941496874874,7.6199207135778,0.27276442910063087
0.0186842105263157,0.0189473684210526,0.6648089171974523,0.48523362075165005,0.16749256689791872,0.5065269692873339
-0.0023684210526315,0.0073684210526315,0.0,,0.0,
0.0042105263157894,0.0157894736842105,3.0682059447983017,0.7270021787953664,3.9208374628344895,0.6620133624278836
0.0055263157894736,0.0084210526315789,0.8266985138004246,0.6889739747124881,1.9250495540138752,0.6915097792798169
0.0173684210526315,0.0168421052631578,0.8200636942675159,0.49722186278351616,0.7128344895936571,0.4625792982877196
0.0068421052631578,0.0010526315789473,0.0,,0.0,
0.0186842105263157,0.0021052631578947,17.141985138004248,0.04739747323307499,18.27155599603568,0.04457092220016346
0.0173684210526315,0.0126315789473684,1.278927813163482,0.34815648583228775,3.5519078295341924,0.3381885640914575
-0.0010526315789473,0.0136842105263157,0.11491507430997877,,0.22051536174430128,0.6954242074131244
0.0028947368421052,0.0157894736842105,2.0658174097664546,0.7662229410728867,2.9169970267591676,0.7100998873089142
0.0042105263157894,0.0052631578947368,0.0007961783439490446,,0.009415262636273538,
0.0055263157894736,0.0157894736842105,3.7192144373673037,0.6550634431730473,4.756318136769078,0.6017431940623927
0.0002631578947368,0.0021052631578947,0.0,,0.0,
0.0028947368421052,0.0073684210526315,0.006369426751592357,,0.036422200198216056,
-0.0010526315789473,0.0147368421052631,0.2152335456475584,0.7655636874158138,0.38862735381565905,0.6917387766593309
0.0081578947368421,0.0073684210526315,3.5897027600849256,0.5637220225392879,5.403493557978196,0.4281674787667177
0.0134210526315789,0.0189473684210526,2.265923566878981,0.540394088270918,1.6864469772051536,0.5048239911730285
0.0028947368421052,0.0042105263157894,0.0,,0.0,
0.001578947368421,0.0157894736842105,1.3325371549893843,0.7807397239470543,1.9400396432111,0.7556171609816227
0.0094736842105263,0.0063157894736842,5.389861995753716,0.4030053328537125,7.238354806739346,0.2975408642137984
0.0134210526315789,0.0136842105263157,2.6194267515923566,0.3952773863084324,5.257556987115956,0.3761725738678795
0.0042105263157894,0.0073684210526315,0.06024416135881104,,0.2840683845391477,0.6527858043608294
0.0107894736842105,0.02,2.9447983014861996,0.5858102740192749,2.570862239841427,0.5558061396133387
0.001578947368421,0.0136842105263157,0.6626857749469215,0.7328574571936093,1.1082755203171457,0.7471084103665508
0.0028947368421052,0.02,3.7380573248407645,0.7625951984294462,4.034811694747274,0.7034637269186702
0.02,0.0094736842105263,1.3901273885350318,0.25025652866026576,7.8517096134786915,0.25069784353748703
-0.0010526315789473,0.0063157894736842,0.0,,0.0,
-0.0036842105263157,0.0168421052631578,0.1475583864118896,0.5937744245526841,0.24033696729435083,0.6701830918191259
0.0186842105263157,0.0,17.125,0.00017982393037379313,18.25,4.381621988605666e-15
0.0134210526315789,0.0147368421052631,2.300424628450106,0.42356159608526367,4.377353815659069,0.39898346259076256
0.0081578947368421,0.0094736842105263,4.357484076433121,0.5304811180931336,5.900396432111001,0.4397681815388038
0.001578947368421,0.0063157894736842,0.0,,0.0,
0.0081578947368421,0.0126315789473684,4.427547770700637,0.5123155190396927,6.208498513379584,0.46322243669790536
0.0107894736842105,0.0,6.875,2.384997905690828e-15,8.875,0.00041708692862396597
0.0186842105263157,0.0031578947368421,17.165339702760086,0.07129502609216369,18.335728444003966,0.0667198854002105
0.001578947368421,0.0021052631578947,0.0,,0.0,
0.02,0.0021052631578947,18.615711252653927,0.04575230013312467,19.729311199207135,0.043801986021357174
0.001578947368421,0.0084210526315789,0.003980891719745223,,0.02217542120911794,
0.0028947368421052,0.011578947368421,0.5737791932059448,0.7224877130654861,1.0999752229930624,0.7300640273257863
-0.005,0.0042105263157894,0.0,,0.0,
0.0081578947368421,0.0189473684210526,3.93895966029724,0.6013800747711191,4.314915758176412,0.5589506345673942
0.0028947368421052,0.0136842105263157,1.3001592356687899,0.7678439367652972,2.0301040634291376,0.7344078350829885
-0.0036842105263157,0.0052631578947368,0.0,,0.0,
0.0160526315789473,0.0073684210526315,7.927813163481953,0.20373829023451917,13.893830525272547,0.17662873797135678
0.0081578947368421,0.0063157894736842,2.9118895966029723,0.5878726179164513,5.061818632309217,0.42708435700564595
0.0173684210526315,0.0084210526315789,4.5854564755838645,0.23014712773906465,12.488602576808722,0.20320896970010316
0.0186842105263157,0.0094736842105263,2.214968152866242,0.25225219426762185,9.217294350842419,0.24560518625674008
-0.005,0.0136842105263157,0.004511677282377919,,0.008919722497522299,
0.0107894736842105,0.0136842105263157,3.8964968152866244,0.43934635553032064,6.351461843409316,0.40039288234502174
0.0042105263157894,0.0168421052631578,3.3036093418259025,0.7153139610110854,4.155847373637265,0.6542663310329491
0.02,0.0189473684210526,0.3662420382165605,0.5044184040625818,0.07457879088206144,0.49791666406259316
-0.0023684210526315,0.0,0.0,,0.0,
0.0042105263157894,0.0010526315789473,0.0,,0.0,
0.0173684210526315,0.0178947368421052,0.5745753715498938,0.5100250475141019,0.45948959365708625,0.4894731577042384
0.0028947368421052,0.0063157894736842,0.0007961783439490446,,0.005574826560951437,
0.0042105263157894,0.0021052631578947,0.0,,0.0,
-0.0036842105263157,0.0042105263157894,0.0,,0.0,
0.0147368421052631,0.0178947368421052,1.526008492569002,0.5067909266323822,1.4945490584737364,0.4817385167205373
0.0002631578947368,0.0126315789473684,0.14676220806794055,1.1031649095990754,0.3038899900891972,0.6759315315363338
0.02,0.0063157894736842,7.526539278131635,0.17277235498409585,18.649653121902872,0.13816075697440725
-0.0010526315789473,0.0052631578947368,0.0,,0.0,
0.0173684210526315,0.0189473684210526,0.8038747346072187,0.5456450556731064,0.3481169474727453,0.5102674022374295
0.0068421052631578,0.0052631578947368,0.3182059447983015,0.6670153620321437,1.792368681863231,0.6577025362150317
0.0042105263157894,0.02,4.25,0.726914095175197,4.619177403369673,0.6662195830417704
0.0094736842105263,0.0136842105263157,4.024416135881104,0.482015788567147,6.670465807730426,0.4343362384770383
0.0160526315789473,0.0126315789473684,1.8113057324840764,0.35337474678854724,4.4637016848364715,0.33806990621148253
-0.0023684210526315,0.0052631578947368,0.0,,0.0,
0.0186842105263157,0.0105263157894736,1.4333864118895967,0.2854192423847801,6.255450941526264,0.2766937102971505
0.0081578947368421,0.0042105263157894,1.2186836518046709,0.6672040235491388,4.180004955401388,0.4211086677140938
0.0094736842105263,0.02,3.8723460721868364,0.6107997994234471,3.210852329038652,0.5644924502451582
0.0094736842105263,0.0147368421052631,4.414808917197452,0.4903701700838779,6.193508424182359,0.4508149513224952
0.0002631578947368,0.0031578947368421,0.0,,0.0,
0.0160526315789473,0.0084210526315789,5.81395966029724,0.23271569246034365,12.050297324083251,0.2081422367950568
0.0068421052631578,0.0094736842105263,2.8136942675159236,0.6479477735126234,4.325074331020812,0.548723670922656
0.0068421052631578,0.0084210526315789,2.218683651804671,0.6819914630716158,3.8030227948463824,0.5669289613914924
0.0121052631578947,0.0,9.0,4.032512746548735e-15,10.75,5.59736438563168e-15
0.0055263157894736,0.0,0.0,,0.0,
